模型,准确率,精确率,召回率,F1分数,训练时间(s),推理时间(s),参数量
bert,0.8451834862385321,0.8425720620842572,0.8558558558558559,0.8491620111731844,0.0,8.798539638519287,102269186
standard,0.7752293577981652,0.7780269058295964,0.7815315315315315,0.7797752808988764,0.0,8.167648792266846,58755074
gpt2,0.7901376146788991,0.7855579868708972,0.8085585585585585,0.7968923418423973,0.0,8.873050212860107,124441346
qcit,0.8451834862385321,0.8225469728601252,0.8873873873873874,0.8537378114842904,0.0,8.714856624603271,218954498
